fr,en,it,de,es,ko,kana
":[name=???]:Salut Maker, et bienvenue dans la démo technique de CritterSDK !",":[name=???]:Hello and welcome to the Dungeon Critters Demo!:[bloop_sound=voice_asgore,100,100]:",":[name=???]:Hello Maker, and welcome to the CritterSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the CritterSDK Technical Demo!",":[name=???]:Bienvenido a la demo de Dungeon Critters.:[bloop_sound=voice_asgore,100,100]:",":[name=???]:Hello Maker, and welcome to the CritterSDK Technical Demo!",":[name=???]:Hello Maker, and welcome to the CritterSDK Technical Demo!"
":[name=SirMalo]:Je suis SirMalo,[WAIT 40] et voici mes collègues Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] et Walven ![WAIT 100]",":[name=Elder Theodrin]:Ah... you're awake. Good. I was beginning to wonder if you would. I am Elder Theodrin.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=Anciano Theodrin]:Ah... ya despertó. Bien. Empezaba a pensar que no lo haría. Soy el anciano Theodrin.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]"
:[name=SirMalo]:Cette démo technique est le fruit de notre collaboration continuelle et du chemin parcouru depuis la première release de CritterSDK.,":[name=Elder Theodrin]:I found you unconscious on the outskirts of Holtheim.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of CritterSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of CritterSDK.,":[name=Anciano Theodrin]:Lo encontré inconsciente en las afueras de Holtheim.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of CritterSDK.,:[name=SirMalo]:This technical demo is the result of our continued collaboration and shows how far we've come since the first release of CritterSDK.
":[name=SirMalo]:Bien entendu, CritterSDK ne serait jamais arrivé jusqu'à ce niveau sans les divers contributeurs qui ont tous apporté leur pierre à l'édifice !",":[name=Elder Theodrin]:You are not from this village. That much is clear.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:Of course, CritterSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, CritterSDK would never have reached this level without all the contributors who played their part!",":[name=Anciano Theodrin]:No es de esta aldea. Eso está claro.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:Of course, CritterSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, CritterSDK would never have reached this level without all the contributors who played their part!"
":[name=SirMalo]:Pour ce qui est de cette démo, elle te permettra d'essayer en jeu les différents systèmes que nous offrons avec CritterSDK.",":[name=Elder Theodrin]:No pack, no tools... and not a single Critter at your side.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with CritterSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with CritterSDK ingame.",":[name=Anciano Theodrin]:Sin mochila, sin herramientas... y ni un solo Critter con usted.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with CritterSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with CritterSDK ingame."
":[name=SirMalo]:Mais elle est aussi en lien avec Critter Studio, et elle te permettra de voir comment ces fonctionnalités sont implémentées.",":[name=Elder Theodrin]:That is... unusual for someone found this deep in the Highgrove Strata.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:But it is also connected with Critter Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Critter Studio, and it will let you see how these features are implemented.",":[name=Anciano Theodrin]:Es... inusual para alguien encontrado tan adentro del estrato Highgrove.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:But it is also connected with Critter Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Critter Studio, and it will let you see how these features are implemented."
":[name=SirMalo]:Tu arriveras sous peu sur l'Île, une collection de maps sur lesquelles tu pourras te balader et expérimenter.",":[name=Elder Theodrin]:Tell me... who are you?:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=Anciano Theodrin]:Dígame... ¿quién es usted?:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on."
":[name=SirMalo]:Je te conseille de d'abord te rendre à la Tour, ça sera le début de ton parcours dans cette démo.\nlQuelqu'un t'y attend.",Left,":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",Izquierda,":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there."
":[name=SirMalo]:Mais avant de te laisser partir, je vais te demander quelques informations.",Right,":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",Derecha,":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information."
:[name=SirMalo]:Sais-tu comment changer tes touches ?,":[name=Elder Theodrin]:...You don’t remember. I see.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,":[name=Anciano Theodrin]:...No lo recuerda. Ya veo.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?
